Id,Mounths,PM10 in æg/m3,SO2 in æg/m3,NOx  in æg/m3, PM2.5  in æg/m3,Ammonia - NH3  in æg/m3,O3   in æg/m3,CO  in mg/m3, Benzene  in æg/m3,AQI
1,Jan-17,174,26.4,35,79,25,107.6,0.9,0.7,149
2,Feb-17,143,35.1,40.3,75,31,103,0.9,0.9,129
3,Mar-17,142,32.1,30.9,59,26,80.7,0.8,0.5,128
4,Apr-17,117,50.9,36.3,75,36,79.5,0.9,0.7,111
5,May-17,,41.6,25.2,53,28,70,0.5,0.5,
6,Jun-17,,35.5,21.2,25,26,38.8,0.3,0.6,
7,Jul-17,111,38.9,21.5,29,30,24.4,0.3,0.7,106.7
8,Aug-17,78,36,18.4,35,23,22.5,0.4,0.5,78.3
9,Sep-17,86,30,22.3,39,20,35.2,0.4,0.4,86
10,Oct-17,146,37.1,32.6,63,23,52.8,0.6,0.5,130
11,Nov-17,,22.1,29.7,50,17,57.4,0.5,0.2,
12,Dec-17,,13.1,38.5,72,19,63.5,0.8,0.3,
13,Jan-18,,,,75,26,71.7,0.8,0.4,156
14,Feb-18,178,17,37,53,23,54.1,0.7,0.3,118
15,Mar-18,144,17.2,29.7,63,22,48.3,0.7,0.3,129
16,Apr-18,159,16.5,30,44,20,38.7,0.5,0.2,109.4
17,May-18,130,16.6,32.3,39,16.9,39.5,0.5,0.2,106.9
18,Jun-18,121,16.8,32.9,27,27.9,18,0.7,0.3,79.6
19,Jul-18,123,14.5,31.3,22,33,7.9,0.2,0.4,65.6
20,Aug-18,171,16.5,28.8,19,24,12.6,0.3,0.2,75
21,Sep-18,156,16,27.8,43,22,9.9,0.4,0.2,93
22,Oct-18,125,16.5,27.3,63,14,18,0.5,0.1,127
23,Nov-18,132,14.2,30.4,54,11,20.1,0.5,0.1,110.5
24,Dec-18,139,14.3,29.8,67,11,19.3,0.6,0.1,135.9
25,Jan-19,106,4.8,26,77,21,17.6,0.6,0.1,103.5
26,Feb-19,106,6.1,29.5,56,16,18.9,0.6,0.1,103.5
27,Mar-19,104,4.8,26,50,19,15.1,0.6,0.1,100.6
28,Apr-19,99,5.5,28.2,39,14,31.6,0.5,0.1,97.3
29,May-19,108,8.9,28.5,50,25,34.2,0.6,0.1,105.2
30,Jun-19,104,8.9,29,31,26,24.9,0.4,0.1,101.5
31,Jul-19,95,19.6,29.3,24,25,18,0.3,0.1,94
32,Aug-19,100,29.7,27.5,25,34,21.4,0.4,0.1,99
33,Sep-19,93,22.3,26.2,24,27,21.6,0.5,0.1,92.4
34,Oct-19,91,9.8,27,37,22,29.7,0.5,0.1,90.6
35,Nov-19,100,12,29.7,79,22,41.7,0.6,0.2,97.1
36,Dec-19,108,5.1,30.7,73,20,33.5,0.6,0.2,105
37,Jan-20,134,9,33.3,58,23,31.5,0.5,0.2,123
38,Feb-20,131,9.1,37.1,44,21,26,0.4,0.3,120.7
39,Mar-20,129,9,37.2,35,22,23.5,0.4,0.2,120
40,Apr-20,,7.7,,27,23,26.4,0.3,0.1,
41,May-20,122,12,25.3,30,32,24,0.4,0.3,115
42,Jun-20,133,12,31.4,22,37,12,0.3,0.4,123
43,Jul-20,129,10,28,18,23,7.8,0.3,0.3,119
44,Aug-20,113,13.4,27.1,17,28,6.9,0.3,0.3,108
45,Sep-20,79,22.5,28.1,23,32,25.9,0.3,0.5,78
46,Oct-20,84,24.3,28.5,57,33,45.2,0.4,0.4,84
47,Nov-20,102,11,32,59,17,47.2,0.4,0.2,101
48,Dec-20,106,9.8,29.4,87,17,36.6,0.5,0.2,104
49,Jan-21,104,4,30.9,74,22,21.7,0.5,0.2,102
50,Feb-21,96,8.6,34.5,66,22,10.2,0.5,0.2,93
51,Mar-21,105,12,31.6,67,24,2.4,0.5,0.3,103
52,Apr-21,111,10.8,24.6,51,29,8.7,0.4,0.2,107
53,May-21,82,8.4,28.9,26,21,6.1,0.3,0.1,81
54,Jun-21,85,16.7,28.9,18,20,7.8,0.3,0.1,85
55,Jul-21,83,18.8,27.3,12,20,8.7,0.3,0.1,83
56,Aug-21,82,24.9,27,24,25,7.4,0.3,0.1,82
57,Sep-21,85,24.8,28.5,19,20,4.7,0.4,0.1,85
58,Oct-21,92,15.4,29.7,47,23,15.4,0.5,0,92
59,Nov-21,97,9.4,29.9,49,21,15.5,0.5,0.03,96
60,Dec-21,90,10.9,33.3,79,23,13.6,0.7,0.1,90
61,Jan-22,87,13.2,29.2,62,16,14.6,0.54,0.05,146
62,Feb-22,91,14,31,54,26,18.6,0.56,0.04,119
63,Mar-22,86,14.8,32.4,62,35,12.6,0.72,0.05,137
64,Apr-22,90,15.8,33.8,47,31,22.6,0.64,0.04,118
65,May-22,87,13.3,36.5,42,29,5.3,0.78,0.04,123
66,Jun-22,91,14.5,33.8,29,31,11.1,1.13,0.03,92
67,Jul-22,76,9.3,30.3,23,26,15.7,0.69,0.03,58
68,Aug-22,89,12,35,22,26,15.2,0.64,0.09,67
69,Sep-22,92,13,37.3,30,31,10,0.7,0.06,76
70,Oct-22,93,12,30.7,46,28,9.7,0.67,0.07,101
71,Nov-22,87,10.4,28.2,78,30,12.1,1.52,0.03,166
72,Dec-22,88,13,34.5,72,15,16.5,1.39,0.04,162
